timestamp,status,application
2025-07-27 01:02:20,active,(16) Learn how to use PANDAS in Python in 15 minutes - with 10 real examples - YouTube - Brave
2025-07-27 01:02:25,active,(16) Learn how to use PANDAS in Python in 15 minutes - with 10 real examples - YouTube - Brave
2025-07-27 01:02:30,active,(16) Learn how to use PANDAS in Python in 15 minutes - with 10 real examples - YouTube - Brave
2025-07-27 01:02:35,active,● Activity_logger.py - Centurion - Visual Studio Code
2025-07-27 01:02:55,active,● Activity_logger.py - Centurion - Visual Studio Code
2025-07-27 22:39:29,active,Activity_logger.py - Centurion - Visual Studio Code
2025-07-27 22:39:34,active,
2025-07-27 22:39:39,active,Instagram
2025-07-27 22:39:44,active,Instagram - (4) Instagram
2025-07-27 22:39:49,active,Instagram - (4) Instagram
2025-07-27 22:39:54,active,Instagram - (4) Instagram
2025-07-27 22:39:59,active,Instagram - Stories • Instagram
2025-07-27 22:40:04,active,Instagram - Stories • Instagram
2025-07-27 22:40:09,active,
2025-07-27 22:40:14,active,
2025-07-27 22:40:19,active,Activity_logger.py - Centurion - Visual Studio Code
2025-07-28 16:49:06,active,Activity_logger.py - Centurion - Visual Studio Code
2025-07-28 16:49:11,active,Activity_logger.py - Centurion - Visual Studio Code
2025-07-28 16:49:16,active,Activity_logger.py - Centurion - Visual Studio Code
